スターバックス モバイルオーダー アイストールラテ, -652
ドトール カフェラテM（オンラインチャージ） , -384
すき家 牛丼並盛 テイクアウト, -530
松屋 食券セット（牛めし＋味噌汁）, -580
サーティワン ダブルコーン, -462
はなまるうどん 生じょうゆうどん, -392
日高屋 チャーハン＋餃子セット, -720
スシロー テイクアウトセット10貫, -950
マクドナルド モバイルオーダー バリューセット, -750
モスバーガー ネット注文 モスバーガー＋ポテト, -840
Uber Eats ピザーラ マルゲリータL, -2,400
出前館 すき家 牛丼2個, -1,060
ほっともっと のり弁当（お弁当）, -499
上島珈琲店 テイクアウト カフェラテ, -550
大戸屋 ご飯＋おかずセット, -1,100
成城石井 オンライン 食品バスケット, -3,200
Cake.jp ホールケーキ15cm, -4,500
不二家 公式通販 ミルキー詰合せ, -1,800
ZOZOTOWN ファッションケアアイテム, -2,200
柏屋 オンライン 饅頭10個入り, -1,200
Oisix 有機野菜セット, -3,500
Coke ON Pay 自動販売機500ml×6本, -1,020
NewDays モバイルSuicaチャージ, -2,000
セイコーマート おにぎり＆ドリンクセット, -420
ポプラ カレーライス＋飲料, -550
ミニストップ ソフトクリーム＋ホットスナック, -480
ローソン ちょい飲みセット（おつまみ＋酒）, -830
ナチュラルローソン サラダチキン＆野菜ジュース, -680
セブン‑イレブン サンドイッチ＋コーヒー, -620
ドラッグイレブン 栄養ドリンク×2本, -850
マツモトキヨシ 日用品セット, -1,300
ウェルパーク マスク＋消毒液パック, -1,120
ツルハドラッグ ビタミン剤ボトル, -1,450
スギ薬局 花粉対策鼻炎薬, -1,080
サンドラッグ 目薬＋鎮痛薬セット, -920
ココカラファイン 健康サプリセット, -2,300
イトーヨーカドー ネットスーパー 食材一式, -5,600
ライフ オンライン 野菜たっぷりセット, -3,100
イオンネットスーパー ミールキット2人前, -2,700
OKストア ネット買物 カート分, -6,800
ヤオヨシ ドリンクまとめ買い６本, -1,020
ベイシア 生活必需品詰合せ, -4,200
赤札堂 食品お買い得パック, -3,800
東急ストア ネットショッピング, -4,500
京急ストア ネット買物セット, -2,900
ビッグエー 安売り日買い出し, -2,450
スーパーアルプス ミールキット＆調味料, -3,300
そうてつローゼン 朝食セット, -1,200
ヤオマル百貨 ネットギフトセット, -3,800
タマチャンショップ オーガニックサプリ, -4,500
CASHIER 加盟店舗 カフェ利用, -750
Life with MOS モスバーガーセット, -840
大阪王将 オンライン 餃子＋炒飯セット, -980
ルタオ 公式通販 チーズケーキ, -3,600
うまいもんドットコム 海鮮セット, -4,900
豊洲市場ドットコム 鮮魚セット, -5,200
dancyu.com 食通のグルメ便, -4,000
ロイヤルオンラインショッピング お菓子ギフト, -2,200
コカ･コーラ Coke ON 紅茶飲料12本, -1,200
スターバックス カード オンライン入金5,000円分, -5,000
ドトール バリューカード チャージ, -3,000
食べログモール 焼き鳥セット, -2,800
スシロー 回転寿司宅配14貫, -1,500
壱鵠堂 ラーメン＋餃子セット, -1,250
六厘舎 朝つけめん, -800
ERICK SOUTH ランチミールスセット, -1,500
上島珈琲店 フレンチトーストセット, -700
日本再生酒場 飲み放題付きコース, -3,200
大衆ビストロ コタロー ワイン＋前菜盛合せ, -2,800
もつやき処い志井 もつ煮込み＋ドリンク, -1,200
焼肉食堂 カルビセット＋ご飯, -2,500
個室居酒屋 肉寿司食べ放題, -3,900
カフェダイニング ブローニュ パスタセット, -1,400
SPICA コーヒー＋ケーキセット, -950
さくら亭 和食ランチ膳, -1,600
東京駅ブローニュ モーニングセット, -780
PayPayモール ZOZOTOWN サマーセーター, -4,200
PayPayフリマ ブランドリュック中古, -5,800
ヤフオク! 落札 テレビ通販商品, -8,500
公共料金 電気料金支払い, -12,300
公共料金 ガス料金支払い, -6,800
公共料金 水道料金支払い, -3,900
携帯キャリア支払い（PayPayまとめ払い）, -7,500
ワイモバイル 料金支払い, -4,200
ソフトバンク 料金支払い, -6,300
PayPayカード 口座引落しチャージ, -9,000
PayPay商品券 5,000円分利用, -5,000