西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
西荻窪→東京,-380
東京→西荻窪,-380
NEWDAYS西荻窪店 おにぎり（鮭）, -130
NEWDAYS西荻窪店 ヨーグルトドリンク, -150
KIOSK東京駅 ペットボトル茶, -160
駅弁屋 東京駅 幕の内弁当, -980
BECK'S COFFEE SHOP ホットコーヒーM, -280
エキュート東京 ベーカリーセット, -520
スターバックス東京駅店 ラテS, -430
無印良品 駅ナカミニカレー, -390
書店 東京駅文庫1冊, -770
UNIQLO 駅構内Tシャツ, -1500
エキュート西荻窪 チーズケーキ, -480
成城石井 東京駅 ワイン小瓶, -880
駅改札内自販機 ミネラルウォーター, -120
キヨスク パン＋ドリンク, -420
ドトール 東京駅前店 モーニングセット, -510
スープストックトーキョー 東京駅, -920
セブン‐イレブン西荻窪駅前 カップ麺, -210
松屋 西荻窪 朝定食, -470
ファミリーマート 東京駅前 雑誌, -620
ローソン 東京構内 軽食, -390
すぎ丸バス 西荻窪→久我山, -100
西荻窪駅 ピザまん, -180
JRチケット券売機 精算, -520
吉祥寺駅 パスタランチ, -1100
東京駅 駅ナカ弁当＋お茶, -740
エキュート和菓子屋 どら焼き, -320
西荻窪商店街 八百屋, -620
西荻窪 カフェアイスラテ, -490
荻窪駅 成城石井パン, -540
中野駅 ロッテリアハンバーガー, -690
吉祥寺 ロフト文具, -980
ユニクロ吉祥寺 シャツ, -1990
東京駅 駅ナカ土産（お菓子）, -1320
上島珈琲 東京駅 アイスミルク珈琲, -560
KIOSK東京駅 ビール缶, -310
BECK'S COFFEE 東京駅 モーニングセット, -470
エクセルシオールカフェ ケーキセット, -730
バス 久我山→西荻窪, -100
東京駅 コインロッカー, -400
中野駅 NEWDAYS 雑誌, -620
西荻窪駅近 ミスド パイ＋ドーナツ, -380
セリア 吉祥寺 文房具, -220
無印良品 駅ナカ お菓子詰合せ, -720
ドラッグストア西荻窪 マスク＋除菌, -970
東京駅 バウムクーヘン土産, -1020
西荻窪100均 文具購入, -330
吉祥寺 ハンズ 鉛筆セット, -420
東京駅構内 花屋 ミニブーケ, -980
中野 サンモール商店街 服飾雑貨, -1580